template_group_id,representative_text,unique_member_count,raw_member_count,member_fingerprints,current_type,source_summary,suggested_type,suggestion_reason,proposed_type,review_status,reviewer,review_note
tpl_8b12371de40c,"[Web발신] [2026 하계방학 로보시지 인턴십 참여 학생 모집] SW학과 3~4학년 재학생 대상 로보시지 인턴십 참여자를 모집합니다! -기업명: 로보시지(서울시 구로구) -모집인원: 3명 -직무: 로봇 어플리케이션 개발 / Physical AI 개발 -활동기간: 7. 6.(월) ~ 8. 21.(금) (7주) -혜택: 학교지원금(약 84만원) + 기업지원금(20만원), 비교과 50P, 수료증 발급 *신청기간: ~ 6. 29.(월) 공지사항 https://www.gov.kr/J86WfK 문의: SW중심대학사업단(02-760-8049)",1,28,8b12371de40c666c8e08355b5236b44d4c93c223a295baac937aaba2ef6ca0cd,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_af129827c328,[Web발신] [*반 프로젝트 최종발표 일정 링크] 클릭해서 신청하세요~ https://www.baemin.me/qGa29G,1,27,af129827c3283f2218baef8752bf17dc48159f820b6793985bfcd7c83213f83b,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_f24bd95a0105,"[Web발신] 대기번호 2번 고객님 지금 입장해 주세요. ㅡ 10분 동안 미 입장시 대기 접수가 자동 취소되며, 다시 대기 등록을 해주셔야 합니다. 대기 취소하기: https://www.cjlogistics.com/zqeHCh",1,26,f24bd95a0105856c69849469a6eb5fabb51201dd16f66ff9c0d086b32fac2714,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_a5bd16e9e8c6,"[Web발신] [외교부] 대만 해외안전여행 길잡이, 아래 링크 참조 https://www.cjlogistics.com/GCa1UL",1,25,a5bd16e9e8c638a07feac44cc91021ad0b5b5a56523b4f7a52050065625e0907,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,정상공공기관알림,APPROVED,pearseona,공공기관 발신 안내
tpl_928cb4579324,[Web발신] [건강지키미] 12월 13일 휴면회원전환예정 https://www.baemin.me/h5ivDR,1,22,928cb457932441a4bccbf68334635089fa94fcad1c56f0f0264372960fc2d2ae,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_38cefc95912a,[Web발신] [토스] 10월 30일 이용약관이 변경되어 안내 드립니다. https://www.hansung.ac.kr/YsyuZ1,1,21,38cefc95912a9eedc16b6882a36769bac4046b90ee24b3bf68f6251db7c6edf0,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_057441485d91,"[Web발신] 오늘 당일 하루! 아르바이트 모집합니다 일급 :94,162원 + 교통비 5,000원 근무시간: 16:00-01:00 자차출근만가능 근무지주소: 경기도 용인시 **로 6*7 파*토 물류센터 현재 일하고 계신분은 답안하셔도됩니다~",16,19,057441485d917a9ed636777cb6bc83abfc93fd756cb1bd82c62e0ec8f8f96248|0925058e8c0f92db41c106a0e37226ca9478651769c1bc7bb31defc2c7693dab|34e9647604756e48542f65cd4e63844868ce650e3d65e3e121e4970346285b92|3ef0a3b62064d137ba433ce89e28bb80a7e2110d05b4afd1ec42d955ee4464da|5ba7e2dcab1e944127011db13a9f9415ef0319a3e3d84e532ffbbf732c638851|76aed99e0ef513c7c1dd04f989a703782e81c2f2b7142f96191c7f5cb11c4581|76ef0bd88bd6431a7e5281abf4b65c2d2c8f9c76eff72908e2179d75a6efcb70|82c56159caf1b7c26ec4c5949b589742b2f47a9d34bd5756e1b077449afaa080|c0bec63a392cdeb6247c166211094a20e2df6e572ae7f1c9625d7e8b9e9393dd|d7b6557dc791566d62c6a72dba81d2c22ea0179cb1938fdb80358fa7e2c0815e|e5afcd5dd0a20eaa2bc5490b63504131b147d6ffb66a4917778d0d4fc02c061c|e82e8ce9c29b1558623fcbedd049ed5c1b686f4848d77cdaac8ce05c5d646cc6|ea3417e3339eae8a97370cf435fc029b281529e12709aa696d5d1d72389eef1e|f07519f53a104e09a5a728c638e10e8a73a5d9175cf03fa6330a5c60da24fb34|f79cdba42c62c2631002a8f13d2fbf7dd25681ed3c36094199fa271440504b0a|ff920cdec80a3a63000ae14cac754f54808a0dc20887c0fb6ddd41245d8983ee,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_63fac6a7e948,"[Web발신] [객체지향언어2]3차 : ""금"" WebEx 신청 https://www.nhis.or.kr/gGjbY4",1,19,63fac6a7e948aa2daef3f106f0315a48e2361f6cd07047ce725966ccd42075cc,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_b8c499e6a27f,[알바몬] 제트알바 도착 [Web발신] [알바몬] 딱 맞는 제트알바가 도착했어요! 000님께 딱 맞는 알바가 도착했어요! 제트 지원으로 더 빠르고 간편하게 지원해 보세요. - 공고제목: [분양상담사] 작년 월급 몇배로 받고 싶다면? 지원… - 기업명: 주식회사 일월그룹 - 업직종 : 마케팅·광고·홍보 외 2개 - 근무기간 : 3개월~6개월 - 근무지 : 경기 광주시 - 급여: 월급 500만원 ▶채용정보 확인하 https://www.yanolja.com/VOoFx6 ▶추천알바 모두보기 https://www.hansung.ac.kr/AGQNHz - 해당 메시지는 회원님이 요청하신 조건에 맞는 채용공고가 있을 경우 발송됩니다. - [알바몬앱 > 마이페이지 > 알림설정]에서 제트알바 알림을 해제할 수 있습니다.,1,18,b8c499e6a27fd1f5a192bc3a249cd60fad7036afae9cd1fab3815c03901ea18e,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
tpl_0091f7fd6db0,"제목없음 *아님, 안녕하세요! 함께하는 사람들의 언어 공동체, ** 신0점 입니다! 오늘 영어회화스터디 상담이 오후 2시30분으로 예약이 되어있는데요, 편안한 마음으로 밝은 웃음과 함께 오시면 되어요! (예약된 시간정각에 상담진행합니다^^) 오시는길 - ★ 주소 : 경북 시 동*구 만 52 문타워 7층 지도 링크 : https://naver.me/FK5B9Fzh  같은 건물 1층에 kt 대리점과 텐퍼센트 카페가 있습니다. ★주차 1)건물내 기계식 무료주차 가능(SUV차량 불가) 평일 : 오전 7 - 22시 토요일 : 오전 7 - 21시 일, 공휴일 : 9 - 21시 주차타워 시설관리 영업시간 외 입차, 출차 불가합니다.* 2) 신부제4공영주차장(도보 6분) ★ 주차료는 지원되지 않습니다★ 최초 30분 무료, 이후 10분 마다 200원 https://map.naver.com/p/entry/place/1307027945?placePath=%2Fhome 3)신부유료주차장(도보 3분) 30분 2,000원, 이후 추가 15분 1,000원 https://map.naver.com/p/entry/place/1002737560?placePath=%2Fhome 감사합니다 ~ :)",10,17,0091f7fd6db03e35ab34749c0647cf6cd5602bee395a64f471cf022e9d3708ae|252bb04c80fefc85c1bce8d1af5e13679dacc684d44834d40f34432c6823adb4|381ec9f45d6d6ea1c3e54b5d9a809c994dc7bdaab2dd5f8eba7df74365a3427f|3fa53e1a0dbcef21354ccdff634cd39de46c7f971d77fb654f0464d282a379a0|45d50423f1d4fcab11ad1ab2d6943b131136bdacfd388ada171db5411fb91ccc|49d8c7da012f74d0e60991c50944874ac6f68821ad6f3d800ea2b5990fadcc36|75b13b1e4921af2a1884f966372ab5073780131a0ccdab2e643b13535e139b24|8de3ef9a8c3ddd13f244b6cf0f07e75c30321a06a98bd23421a9dc96a0aa686c|8e5406beb5e67a1fbd143256333adf6068b724f05c19435942bca58885d49593|db236d7525a63be5d076ccc3a14199a889d528877795d7c828e6cdfbca33bb28,기타정상,original,기타정상,명확한 단일 유형을 자동 제안할 수 없음,기타정상,APPROVED,pearseona,특정 정상 유형에 해당하지 않는 안내
