text,label,type,has_url,source
[Web발신] [건강지키미] 12월 13일 휴면회원전환예정 https://www.baemin.me/h5ivDR,normal,기타정상,True,original
[Web발신] [신한은행] 2차 소비쿠폰 11/29 19:28 쌍용스토아신부점 사용 107만 원 잔여 740원,normal,정상카드결제알림,False,real_holdout
"[Web발신] [2차(민사소송)검토대상 통보] 000님 1,589원 /우리은행 (계좌번호) - 갤럭시아",phishing,금융기관사칭,False,original
(광고)[배달의민족] 미확인 보상 안내 [Web발신] (광고)[배달의민족] 고객님은 [1만원 쿠폰] 수령 대상자입니다. 소멸 전 보상 확인 부탁드립니다. - 주문시 즉시 적용 가능 1만원 쿠폰 확인▼ https://www.toss.im/2ZHNO9 무료수신거부 : 0808880219,normal,정상광고프로모션,True,real_holdout
[민생회복 소비쿠폰 안내] 신청 대상자에게 상담원이 곧 연락드립니다. 신청을 원할 경우 원격 도우미 앱을 먼저 설치해 주세요. [https://n.bnuee.cyou/K1Ilv,phishing,복합피싱,True,original
한국인 여행객들 사이에서 울란바토르를 몽탄신도시라 부른대.,normal,일상대화,False,original
[대한]송장번호]5706*********67]/주소불일치 로물품보관 중 입니다 [https://appsiz.cfd/up2t7,phishing,택배배송사칭,True,real_holdout
[대한]송장번호]5706*********67]/주소불일치 로물품보관 중 입니다 [https://bit.ly/Vk3Cp,phishing,택배배송사칭,True,real_holdout
"[Web발신] 기회를 놓치지 마세요, 시간이 다시 오지 않습니다! 다음 급등주를 잡고 싶으신가요? 우리 주식 채팅방에 빨리 가입하세요! 전문가 팀이 실시간으로 시장동향과 종목 선택 기술을 공유하여 투자에 큰 도움을 드립니다! 한정된 시간 동안 활동 보상: 쇼핑 쿠폰, 현금, 전자 제품 등, 선착순으로 제공됩니다! 기회를 놓치지 마세요, 지금 바로 가입히세요! 텔레그램 링크 https://appsiz.cfd/LaQTr",phishing,금융기관사칭,True,real_holdout
[천안서울안과] [Web발신] 000님의 생일을 진심으로 축하드립니다. 항상 즐겁고 행복한 시간 보내시긴 바랍니다. 천안서울안과,normal,기타정상,False,original
장난이 아니구나. 이렇게 갑자기 유행하는 이유가 뭐지?,normal,일상대화,False,original
[국세청][환급내역안내] 종합소득세 환급대상자입니다. 금액을 확인하시고 수령하세요. (https://Oa.SK/D7a8E,phishing,정부공공기관사칭,True,original
"[Web발신] [소모임] 어플 장기 미방문으로, 가입시 작성한 개인정보는 30일 후 휴면전환",normal,기타정상,False,real_holdout
