text,label,type,has_url,source,review_status,reviewer,review_note
"[신한은행] 03/12 14:20 이체 350,000원 출금 잔액 1,204,300원",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[카카오뱅크] 세이프박스에서 500,000원을 옮겼어요. 현재 잔액은 2,310,000원이에요.",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[NH농협] 김*민님 자동이체 신청이 정상 등록되었습니다. 출금일은 매월 25일입니다.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[우리은행] 예금주 확인 요청이 접수되었습니다. 처리 결과는 영업일 기준 1일 내 안내드립니다.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[IBK기업은행] 03/20 급여 2,840,000원이 입금되었습니다.",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[하나은행] 고객님의 대출 이자 납입일이 3일 남았습니다. 잔액을 확인해 주세요.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[토스] 3월 이체 한도가 초기화되었어요. 이번 달에도 편하게 사용하세요.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[케이뱅크] 정기예금 만기가 도래했습니다. 만기일 2026-04-02, 원금 5,000,000원",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[새마을금고] 통장 재발급 신청이 접수되었습니다. 영업점 방문 시 신분증을 지참해 주세요.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[부산은행] 04/01 09:15 체크카드 결제 12,900원 잔액 883,400원",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[신한은행] 해외송금 접수가 완료되었습니다. 접수번호 SW-****3821,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[SC제일은행] 비대면 계좌개설이 완료되었습니다. 계좌번호 뒷 4자리 ****7213,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[카카오뱅크] 모임통장에 이*진님이 입금했어요. 120,000원",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[농협] 04/05 자동이체가 잔액 부족으로 처리되지 않았습니다.,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[현대카드] 4월 청구금액은 412,800원입니다. 결제일은 4월 25일입니다.",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[KB국민은행] 예약이체가 정상 취소되었습니다. 취소일시 04/08 16:44,normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
"[토스증권] 배당금 8,320원이 입금되었어요.",normal,정상금융알림,False,synthetic_normal_v3,APPROVED,pearseona,정상 은행·계좌 알림 hard negative
[롯데택배] 고객님의 상품이 배송 준비 중입니다. 송장번호 6****8213,normal,정상택배배송안내,False,synthetic_normal_v3,APPROVED,pearseona,정상 배송 안내 hard negative
[한진택배] 오늘 오후 배송 예정입니다. 부재 시 문 앞에 놓아드립니다.,normal,정상택배배송안내,False,synthetic_normal_v3,APPROVED,pearseona,정상 배송 안내 hard negative
[우체국] 등기우편이 도착했습니다. 수령 시 신분증을 준비해 주세요. https://www.epost.go.kr,normal,정상택배배송안내,True,synthetic_normal_v3,APPROVED,pearseona,정상 배송 안내 hard negative
[CJ대한통운] 배송 기사 박*수입니다. 30분 내 도착 예정입니다.,normal,정상택배배송안내,False,synthetic_normal_v3,APPROVED,pearseona,정상 배송 안내 hard negative
