text,label,type,has_url,source,review_status,reviewer,review_note
지금 온라인으로 파손보험금 신청중인데 나 폰 인증이 안돼서 아빠명의로 먼저 신청해도될까?,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
장모님 저 급히 송금할데가 있는데 장모님 저대신 먼저 보내주시면 안되나해서요 60만원이에요. 제가 내일 장모님께 보내드릴게요,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
아빠 나지금폰 액정나가서 않되 01059680036 이번호로톡추가 하고 톡줘 통화안되,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
아빠 주민등록증 보내줘 아빠걸로 되는지 신청해볼려고 그래 ㅐ내꺼 폰때문에 인증못받아서 아빠걸로 받아볼려고 문자했어,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
아빠 나 지금 급하게 구매할게 있어 근데폰매장에수리맡겨놔서 인증못받아 엄마폰으로 먼저인증받으면 안돼?,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
"온라인으로 문화상품권 구매해야하는데 폰고장땜에 살수없어 아빠 지금 시간되면 아빠 명의로 구매해도 돼?
선배가 사정때문에 직접구해못해서 나한테 부탁한건데 폰고장나서못하고있어
돈은 이미받았어 휴 온라인으로하는거라 난못해서 아빠한테 부탁좀할게~
아빠명의로 사도된다면 내가 인터넷으로 가입하고 사볼게 35만원어치 사야되 폰수리끝나면 아빠계좌로 선배가준돈 보내줄게",phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
민증앞면사진이랑 신용카드앞뒤면 찍어서 여기로 보내줘... 아빠 명의로 등록해서 필요해 ...비번도 같이 그리고 돈받을계좌도 하나보내줘 폰받으면 바로 줄게,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
아빠 다햇어 주민등록증하고 카드사진 앞뒤면 찍어서 보내줘,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
엄마 나 폰고장나서 전에 컴퓨터로 받았던 문자나라로 연락햇어 확인하면 여기로 문자줘,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
"통화중 떨어뜨려서 액정이나갓어. 수리맡겨으니 괜찮아 그래서 말인데 부탁하나하려구 그래 
나 온라인으로 문화상품권 신청해야되는데 내 명의로 안돼 엄마 명의로 신청하면 안될까?",phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
일단 엄마 신분증이랑 카드 앞뒤면 사진찍어 보내줘 그럼 내가 알아서 할게 ^^ 엄마 아직이야??,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
엄마 이거 설치하고 9자리 숫자 알려주고 그 화면에서 대기하고 허용하고 시작해줘~,phishing,지인가족사칭,False,real_phishing_v6,APPROVED,pearseona,실수집 가족 사칭 문자. 학습 pool 유형 보강(#102)
"현재 우리는 집에서 쉽게 수입을 늘릴 수 있는 두가지 부업을 제공해드립니다
첫번째 부업은 짧은 동영상을 보면서 인기를 높이는 것으로 미션팀에서 하루에 최소 50000원을 벌수 있고 월급은 실시간으로 정산됩니다
두번째 부업은 수공예품 가공입니다 선택한 수공예품의 재료에 따라 하루에 약 10000원~25000원을 벌 수 있으며완성된후 직원분이 방문하여 검수하고 월급을 정산해드립니다
어느 부업에 관심이 있으신가요?

두 가지 부업 모두 자유롭게 참여하실 수 있습니다 어느 부업을 원하시나요?",phishing,채용부업사기,False,real_phishing_v6,APPROVED,pearseona,실수집 재택·부업 유인 문자. 학습 pool 유형 보강(#102)
"[Web발신]
안녕하세요. 구인구직 채용 매니저 김민숙 입니다!!

저희 당사에서 함께일하실
열정가득하신 직원분들을
모집하고있습니다.

■모집안내: 체험단 각종 체험후기글 작성 / 별점 주기 업무, 재택근무 가능!!
■플랫폼이 많다 보니 일거리가 아주 많습니다.

[지원자격]

성별무관(여성우대) / 나이무관 / 학력무관

주부 / 여성 / 대학생 / 직장인 / 프리랜서

열정 있으신 분이라면 누구나 / 부업 / 알바 / 가능

[근무시간]
09~16시 또는 본인 희망 근무시간 기재
(파트타임 가능. ex) 오전 11시 ~ 오후 3시",phishing,채용부업사기,False,real_phishing_v6,APPROVED,pearseona,실수집 재택·부업 유인 문자. 학습 pool 유형 보강(#102)
"[Web발신]
(광고)최상의 일거리

편한 시간을 활용할 수 있는 최상의
아르바이트!!!
오랫동안 같이 일할 수 있는 분,
모집중입니다.

단기or장기 모두 가능하며, 성실하고
열심히 일하시는 직원분에게는 더큰 우대를
드립니다.

시간과 장소를 가리지 않고 할수 있기에
편하게 문의 바랍니다.

업무 및 조건내용
쇼핑몰-상품주문 .확인하며 관리해주실
알바 모집합니다.
*업무내용:물품작성 알바 및
주문확인(자세한 내용은 카톡문의)
*모집인원:20명-현재9/20명
*근무시간:하루1시간~2시간(본인
시간대에 맞춰 배정가능합니다)",phishing,채용부업사기,False,real_phishing_v6,APPROVED,pearseona,실수집 재택·부업 유인 문자. 학습 pool 유형 보강(#102)
"[간편한 재택/부업 일자리 소개합니다.]
[Web발신]
안녕하세요. 구인구직 채용 매니저 ■■■ 입니다.

▶ 어려운 시기 구직 희망자 분들께 좋은 소식이 있어 연락드립니다.
▶ 누구나 간편/간단하게 할수있는 재택,부업 안내드립니다.  

■ 쇼핑몰-리뉴얼로 인한 많은 인재와 인력이 필요로 합니다.  

■ 모집안내: 주문서 작성 /주문건 처리 업무 / 재택업무  

■ 모집인원  

주문서작성(15명)  

주문건 처리 업무 (10명)  

상품후기 (15명)  

▶ 시간과 장소를 가리지 않고 간편하게 할수있는 일자리 입니다.
▶ 언제 어디서나 간편하게 할수있는 업무
▶ 25세 이상 (주부/대학생/자영업자/회사원/ 등등 누구나 지원가능)  

■ 정산안내 ■
→ 수당은 실시간(3분) 지급!!
→ 매일 매일 꾸준히 10만원 이상
→ 평균 주5회 3시간 투자 알바시 월 300 이상 수령!!",phishing,채용부업사기,False,real_phishing_v6,APPROVED,pearseona,실수집 재택·부업 유인 문자. 학습 pool 유형 보강(#102)
"[Web발신]
영화 컨 텐 츠 평가 알 바 모 집

(정 식 업 체 ■■■)

형 태: 재 택 업 무

수 당: 일 50,000~150,000

경 력: 무관 / 학력: 무관 / 성향: 성실하신분

평 점 및 열람평 간단한 의견 작성

영 화 예고편 보기 및 체 험 단

스마트폰 또는 pc 보유자

만 18세 이상(주 부, 취 준 생, 회 사 원, 퇴 직...",phishing,채용부업사기,False,real_phishing_v6,APPROVED,pearseona,실수집 재택·부업 유인 문자. 학습 pool 유형 보강(#102)
