template_group_id,representative_text,unique_member_count,raw_member_count,member_fingerprints,current_type,source_summary,suggested_type,suggestion_reason,proposed_type,review_status,reviewer,review_note
tpl_2ea8346732ed,[국제발신] 안녕하세요! ETC 사용 요금 미납 건이 확인되었습니다. 기한 내 납부 부탁드립니다. (https://n.bnuee.cyou/tF2Gq,1,36,2ea8346732eddecebb3d5b0af2dadfe19eac847d63d1a54616e3c9780c0d0a9b,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_0ac682d241a4,신년 연하장이 도착하였습니다. 2024년 새해 복 많이 받으세요. (https://Oa.SK/5t9WI,1,26,0ac682d241a4d1354d7236185262f4046582be584c495781d549c50b706fdd6f,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_39d05b840098,부친께서 별세하셨기에 아래와 같이 부고를 전해드립니다 https://gourl.kr/AP4M3,2,26,39d05b840098461e72dbe3cb63b91e57183d6f65df1763509605164611f872a8|e8fd0ea787a039d859c2ab5c6282d183d9fd820b4337c6d45a7a444e3df8c4d8,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_d032c79c99bf,[Web발신][처리] 귀하의 경범되 위반통지 1건 - 3회 미납시 형사처벌 안내: https://appsiz.cfd/Ohs13,1,25,d032c79c99bf3ca9213f7263f47f32cfd8526e911d5a849518b237e4517ad7ba,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_7811e8068f90,설명절 이벤트에 당점되었습니다. 오늘 포인트가 소멸합니다. 꼭 확인해 주세요. ☞(https://appsiz.cfd/x1K0Q,1,23,7811e8068f90f834422688ef168fcd72669d9a938fa26e6e90e13ea82386cb22,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_91fda0dd98c1,"[국제발신] 개인정보 보호법 제20조의2에 따라, Meta 개인정보처리방침을 검토하실 수 있습니다. https://Oa.SK/ftS5M",1,23,91fda0dd98c106982336793ce09dda251f00e166fc5831707122cd5b6b6446eb,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_9ca4452fdfd4,* 음식폐기물 혼합배출 사실확인 되었습니다. https://appsiz.cfd/sqZNN,1,23,9ca4452fdfd46764ceb01d8118bc8e12f8ded6195c97aace09d63c06b2b8521d,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_dccd338f65a2,[Web발신] 마감 임 박 입니다. 구엉 테크에 들어가서 벌써 165-255 처를 결과냈습니다. 현재는 라이브 강의중. 즉시 저희 방에 놀러오세요. 만일 문제가 있을경우 모든 손 실 을 저희가 모든 첵임지겠습니다. 아래 링크 누르시고 즉시 밴드에 입장하시면 내용 전달 드리겠습니다. https://Oa.SK/4DCRS,1,23,dccd338f65a224e53bdcebddcfb764429ba4c928900b61298cc08fc2d63439f8,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_7776a4e0889d,교통위반(신호 미준수) 벌금 부과 내역이 전송되었습니다. https://bit.ly/gqLvt,1,22,7776a4e0889d7f31127be77d87188d7d4c74719d6f4e44f73490f46c81ef7e12,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_102ecec1e3c6,[Web발신] 안녕하세요 보증놀이터 [돛 단 배]에서 안내문자 드립니다. 새 단장전 잔액 및 정보 잔액: 751원 ID:***** PW:***** 소멸예정일: 2024.09.14 회원님께서는 리뉴얼전 이용하신 보유하셨던 금액 모두 현 식스벳에서 사용 혹은 환 받아보실수 있습니다. 주소: https://div.bnuy.my/FvHB3 새 단장으로 인하여 로그인정보 초기화 되셨으니 변경해주시길 바랍니다. 무료수신거부 0808706750,1,21,102ecec1e3c66b3d3b2fee43a9b766dfbeea6807a2862be01d6e115b97ab909e,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
tpl_77b81d18dc5d,[국제발신] 귀하의 Apple 계정 에서 원격 로그인 활동이 감지되었습니다! 세부정보: https://appsiz.cfd/xBlnF,1,21,77b81d18dc5de0e4539eae4029aed9b4e8c1dd6ba45dd38469449f488a4ce4d2,기타피싱,original,기타피싱,명확한 단일 유형을 자동 제안할 수 없음,,PENDING,,
