text_fingerprint,template_group_id,split,label,type
006cd7018b69018d6fcde02725148d6ccb30c7a6623a5f6d7cc07da24cff3750,tpl_006cd7018b69,test,normal,정상알림톡
0091f7fd6db03e35ab34749c0647cf6cd5602bee395a64f471cf022e9d3708ae,tpl_0091f7fd6db0,test,normal,정상알림톡
252bb04c80fefc85c1bce8d1af5e13679dacc684d44834d40f34432c6823adb4,tpl_0091f7fd6db0,test,normal,정상알림톡
381ec9f45d6d6ea1c3e54b5d9a809c994dc7bdaab2dd5f8eba7df74365a3427f,tpl_0091f7fd6db0,test,normal,정상알림톡
3fa53e1a0dbcef21354ccdff634cd39de46c7f971d77fb654f0464d282a379a0,tpl_0091f7fd6db0,test,normal,정상알림톡
45d50423f1d4fcab11ad1ab2d6943b131136bdacfd388ada171db5411fb91ccc,tpl_0091f7fd6db0,test,normal,정상알림톡
49d8c7da012f74d0e60991c50944874ac6f68821ad6f3d800ea2b5990fadcc36,tpl_0091f7fd6db0,test,normal,정상알림톡
75b13b1e4921af2a1884f966372ab5073780131a0ccdab2e643b13535e139b24,tpl_0091f7fd6db0,test,normal,정상알림톡
8de3ef9a8c3ddd13f244b6cf0f07e75c30321a06a98bd23421a9dc96a0aa686c,tpl_0091f7fd6db0,test,normal,정상알림톡
8e5406beb5e67a1fbd143256333adf6068b724f05c19435942bca58885d49593,tpl_0091f7fd6db0,test,normal,정상알림톡
db236d7525a63be5d076ccc3a14199a889d528877795d7c828e6cdfbca33bb28,tpl_0091f7fd6db0,test,normal,정상알림톡
01fe49492e887f979035a5d103e9e2f95b7e971f5eb072ae0e5393e3fdcea16f,tpl_01fe49492e88,test,normal,정상알림톡
024c7e6cfe9a6b242978eb66f744d63a01cec065f8463535baf9b7057ef23f90,tpl_024c7e6cfe9a,test,normal,일상대화
07422ffe21a8e869596865b488d81592415a1ca70eb6e230ca5d65231cd1b9a4,tpl_07422ffe21a8,test,phishing,금융기관사칭
181ae1ea5345872e0f28581d3963f0434961980da5eece94e1eb1c2de6f1ea57,tpl_07422ffe21a8,test,phishing,금융기관사칭
7cf13c705ef8abee183fbcf7181e7274b495fa6bcfead218605cdef188242064,tpl_07422ffe21a8,test,phishing,금융기관사칭
bcd778a5325414fcc05e69a21a8db0713405e045fa96b71f8f4cceac66b98154,tpl_07422ffe21a8,test,phishing,금융기관사칭
c8a5374a9897f8c358c98668ad943a2b6af7460cf2a66af9c9e3e61ffb931bb2,tpl_07422ffe21a8,test,phishing,금융기관사칭
d998145e942162310389538fcaf3a50aee2de27af11245488433a89de43230d2,tpl_07422ffe21a8,test,phishing,금융기관사칭
dedbbd55a62e49d4ecb4826f7e6a2eb4a9f849d24b3e3a186ceafaab414eac11,tpl_07422ffe21a8,test,phishing,금융기관사칭
f4483f9ae4ca9fa074bc0a22bb1df81612e22c0f838a11ee2d5a611e2b321c8f,tpl_07422ffe21a8,test,phishing,금융기관사칭
f825164bc7dceff1ff164328b68c420c1ba21ea9eefdf90088032078fbca00dd,tpl_07422ffe21a8,test,phishing,금융기관사칭
08e64badab3ce8d1fb4252fb85780bfe2a365447823d45cd0f78b78df89b9569,tpl_08e64badab3c,test,normal,일상대화
0a7c3a3d728a06759004c8182e47512176080aa331e07bac4adfec8472e3dfa0,tpl_0a7c3a3d728a,test,phishing,택배사칭
77624f5a437155c3e0f4ec1b2b48cf82c6974cf6e52f3f492e1e8f936e7a3257,tpl_0a7c3a3d728a,test,phishing,택배사칭
d6b7fbeeb6c70ce0d26b41ccd51bf8c4f7671913230a0a4e0b6e168ce08fcc4e,tpl_0a7c3a3d728a,test,phishing,택배사칭
0ba318438504c0a6d1b19344ca1ecab3a632255fb94b09c0c72dc29a6a89e4df,tpl_0ba318438504,test,normal,일상대화
103fd0c676bf9cb692ca0babfed89f28288f96f944611c6562da9dd5a998e145,tpl_103fd0c676bf,test,normal,정상알림톡
28551c15f0e692d859cb6eff3e498451bf936891d3b4c7c9b89a15ac9e26c4b0,tpl_103fd0c676bf,test,normal,정상알림톡
392e0e1d00f5df3785bc159e271122835d7e665fd9eab7398752d7ea25c07673,tpl_103fd0c676bf,test,normal,정상알림톡
413f35f8a63979441d39a25621c97077a9ae8d708cd851a2aa1e21ea311273fe,tpl_103fd0c676bf,test,normal,정상알림톡
b59d8dacb0a9f79ca2cee06c85d9d857d5e7397659d04b9cca575faba6ae7af8,tpl_103fd0c676bf,test,normal,정상알림톡
fc2ed5d52873a821c77b11d469604628d52db92da6268c26e46d181bb1c730c7,tpl_103fd0c676bf,test,normal,정상알림톡
fe308bfd7fbaa4a8bce8339f6e246a72f7223160d5a9f5c662bb2e2f20fe74fe,tpl_103fd0c676bf,test,normal,정상알림톡
136c599e8297d1d6683d54d540bd60a00116a915680f4d0b06251dcc421e1eae,tpl_136c599e8297,test,normal,일상대화
14084b8ddfb7377e940b580b01b54edb58c92d0c8e7d1e19d5f671affde41a79,tpl_14084b8ddfb7,test,normal,일상대화
1b4632392cc594cbd7f73cedfdb7cfe61384a76a8937ec34c9709142d490f8e9,tpl_1b4632392cc5,test,phishing,기타피싱
1e1bca0b67e5836680f7d937566931992f6a174fe651f5dbbed1624a78a727ce,tpl_1e1bca0b67e5,test,normal,일상대화
1fe36ae24d263143655e6255f205d25185df8214a2bd74e728e1f6bbe8f0e31d,tpl_1fe36ae24d26,test,normal,일상대화
25f2a1bf431cec88c479a438086e0bed90fbc590ca315d70309f0311df20020f,tpl_25f2a1bf431c,test,normal,일상대화
282f33a32e47f3cb73939db2c0c12b1a2546dca427f6f9b8645422d744382d93,tpl_282f33a32e47,test,phishing,이벤트당첨사칭
29fbbd1a61dcc45e238443102a669e291dbb81a2a857f24ebdc3646686c49fed,tpl_29fbbd1a61dc,test,normal,정상알림톡
2bdb1a1691c91d77464a2a27a3f38ef2a46f0008cac6b80834089a643bd790dd,tpl_2bdb1a1691c9,test,phishing,정부공공기관사칭
2fbc6b4e11113b0d39ced22dcfda822d3b64760260a479766403efa1ef49e591,tpl_2fbc6b4e1111,test,phishing,지인사칭
f40c0c0e16dc2519d56ebbed72df66b4d5230573ef34456dae9606440780c189,tpl_2fbc6b4e1111,test,phishing,지인사칭
360922da735ea60da5223beb530999c60a74ba4a79e0f8ae010165f977bf02e2,tpl_360922da735e,test,phishing,경조사사칭
e3bc2852b94e9fb1ce56dd6d7f2d55062837f8d421e281dead515b7e61fbac86,tpl_360922da735e,test,phishing,경조사사칭
370820bbd3ac31f7e762e24ac225ba722ee86f88e776212f026452089688875e,tpl_370820bbd3ac,test,phishing,정부공공기관사칭
3bf4492c0eec2c5bd25fda7462a3a3fa990882d1b0eab5920c595379e6b34c18,tpl_3bf4492c0eec,test,phishing,택배사칭
5756f668f66b8efd83dd3c6bda2ea0ecc492319c2b876214c64412f3c2c4b8fc,tpl_3bf4492c0eec,test,phishing,택배사칭
cae74472e95f1b714da33658ed4fc882f1a24dea1813c1430c8b7cb66da529ea,tpl_3bf4492c0eec,test,phishing,택배사칭
46335873d6264088f204441052209785487588dec4113a6a4bcbfb7e62fe15ff,tpl_46335873d626,test,phishing,금융기관사칭
47d42be0ab654b7a1241c60c8f37cbb3036e522db2731facc6751094986628d5,tpl_47d42be0ab65,test,phishing,경조사사칭
